plan_id;tipo_equipo;actividad;frecuencia_meses;criticidad;duracion_estimada_h
LR-008;Soldadora Lincoln Ranger;Prueba de arranque y verificación de batería;3;MEDIA;5
LR-006;Soldadora Lincoln Ranger;Cambio de filtro de combustible;3;ALTA;1
CU-002;Motor Cummins;Revisión de inyectores y limpieza de bomba;12;ALTA;3
GG-002;Generador Generac Guardian;Limpieza o reemplazo de filtro de aire;12;MEDIA;75
CU-004;Motor Cummins;Limpieza de sistema de refrigeración y verificación de termostato;12;MEDIA;20
GG-006;Generador Generac Guardian;Prueba de carga en modo manual;3;MEDIA;75
CU-008;Motor Cummins;Limpieza de tanque de combustible;12;MEDIA;20
KH-004;Hidrolavadora Karcher;Limpieza de mangueras y boquillas;1;BAJA;5
KH-005;Hidrolavadora Karcher;Sustitución de filtro de detergente;6;MEDIO;5
LR-005;Soldadora Lincoln Ranger;Limpieza de radiador y sistema de refrigeración;6;MEDIA;15
CU-004;Motor Cummins;Limpieza de sistema de refrigeración y verificación de termostato;12;MEDIA;20
KH-009;Hidrolavadora Karcher;Revisión del quemador y válvula de seguridad;6;ALTA;1
LR-002;Soldadora Lincoln Ranger;Reemplazo de filtro de aire;6;MEDIA;10
CU-008;Motor Cummins;Limpieza de tanque de combustible;12;MEDIA;2
GG-003;Generador Generac Guardian;Revisión de bujías y electrodos;12;null;1
GG-007;Generador Generac Guardian;Limpieza de compartimiento y protección anticorrosión;12;BAJA;75
LR-003;Soldadora Lincoln Ranger;Limpieza de sistema de combustible y drenaje de sedimentos;3;MEDIA;15
CU-006;Motor Cummins;Revisión de válvulas y ajuste de holgura;12;ALTA;25
LR-003;Soldadora Lincoln Ranger;Limpieza de sistema de combustible y drenaje de sedimentos;3;MEDIA;15
KH-003;Hidrolavadora Karcher;Revisión del sistema de seguridad y válvula de rebose;3;MEDIA-ALTA;1
CU-007;Motor Cummins;Verificación de batería y alternador;3;MEDIA;5
KH-007;Hidrolavadora Karcher;Revisión del sistema eléctrico y termostato;12;MEDIA;1
CU-001;Motor Cummins;null;6;ALTA;2
KH-008;Hidrolavadora Karcher;Cambio de filtro fino de bomba;6;ALTA;75
GG-003;Generador Generac Guardian;Revisión de bujías y electrodos;12;MEDIA;1
KH-010;Hidrolavadora Karcher;Limpieza de tanque de detergente y prueba general;12;null;75
LR-009;Soldadora Lincoln Ranger;Limpieza general y revisión de terminales;6;BAJA;1
GG-004;Generador Generac Guardian;Comprobación de batería y cargador;3;MEDIA;5
KH-006;Hidrolavadora Karcher;Limpieza del sistema de calefacción;12;MEDIA;1
GG-005;Generador Generac Guardian;Verificación de válvulas y ajuste de luz;12;ALTA;15
CU-005;Motor Cummins;Cambio de filtro de combustible;6;MEDIA-ALTA;10
GG-008;Generador Generac Guardian;Verificación de sistema de arranque automático;6;MEDIA;5
KH-001;Hidrolavadora Karcher;Limpieza de filtros de agua y combustible;1;MEDIA;5
LR-001;Soldadora Lincoln Ranger;Cambio de aceite de motor y filtro;3;ALTA;20
CU-009;Motor Cummins;Ensayo de carga y control de emisiones;12;ALTA;2
CU-003;Motor Cummins;Sustitución de filtro de aire primario/secundario;6;MEDIO;1
GG-009;Generador Generac Guardian;Ensayo general y actualización de firmware;12;MEDIA;1
LR-004;Soldadora Lincoln Ranger;Revisión de correas de ventilador y tensión;12;MEDIA;1
LR-007;Soldadora Lincoln Ranger;Inspección del alternador y cepillos;12;MEDIA;1
GG-001;Generador Generac Guardian;null;6;ALTA;15
KH-002;Hidrolavadora Karcher;Cambio de aceite de bomba;6;ALTA;1
